Year;Value
1996;41850
1997;45000
1998;46000
1999;47000
2000;49995
2001;49000
2002;55000
2003;63500
2004;83450
2005;95000
2006;111000
2007;119000
2008;119000
2009;110000
2010;115000
2011;115000
